iter	Passed	Remaining
420	2392	3290
421	2398	3284
422	2403	3279
423	2409	3273
424	2415	3267
425	2421	3262
426	2427	3257
427	2433	3251
428	2438	3246
429	2444	3240
430	2450	3234
431	2455	3228
432	2461	3223
433	2467	3217
434	2473	3212
435	2479	3207
436	2484	3201
437	2490	3195
438	2496	3190
439	2502	3184
440	2507	3178
441	2512	3172
442	2518	3166
443	2524	3161
444	2530	3155
445	2536	3150
446	2542	3145
447	2548	3140
448	2554	3134
449	2560	3129
450	2565	3123
451	2571	3117
452	2577	3112
453	2583	3107
454	2588	3100
455	2593	3094
456	2598	3087
457	2604	3082
458	2610	3076
459	2616	3071
460	2622	3065
461	2627	3059
462	2633	3054
463	2639	3049
464	2645	3043
465	2651	3038
466	2657	3032
467	2662	3027
468	2668	3021
469	2674	3015
470	2679	3009
471	2685	3004
472	2691	2998
473	2697	2993
474	2702	2987
475	2708	2981
476	2714	2976
477	2720	2970
478	2726	2965
479	2731	2959
480	2738	2954
481	2743	2948
482	2749	2943
483	2756	2938
484	2762	2933
485	2768	2927
486	2774	2922
487	2779	2916
488	2785	2910
489	2791	2905
490	2797	2899
491	2803	2894
492	2809	2889
493	2815	2883
494	2821	2878
495	2826	2872
496	2832	2866
497	2838	2861
498	2844	2856
499	2850	2850
500	2856	2845
501	2862	2839
502	2868	2833
503	2873	2828
504	2879	2822
505	2884	2816
506	2890	2810
507	2896	2805
508	2901	2799
509	2907	2793
510	2913	2787
511	2918	2782
512	2924	2776
513	2930	2770
514	2936	2765
515	2942	2759
516	2947	2754
517	2953	2748
518	2958	2741
519	2963	2735
520	2968	2729
521	2974	2723
522	2979	2717
523	2985	2712
524	2991	2706
525	2997	2700
526	3002	2694
527	3007	2688
528	3012	2682
529	3017	2676
530	3023	2670
531	3029	2664
532	3034	2659
533	3040	2653
534	3046	2648
535	3052	2642
536	3058	2637
537	3064	2631
538	3069	2625
539	3074	2618
540	3079	2612
541	3085	2607
542	3091	2601
543	3096	2595
544	3102	2590
545	3108	2584
546	3114	2579
547	3120	2573
548	3125	2567
549	3131	2562
550	3137	2556
551	3143	2551
552	3148	2545
553	3154	2539
554	3159	2533
555	3164	2527
556	3170	2521
557	3176	2516
558	3182	2510
