iter	Logloss
0	0.6650624467
1	0.6407277149
2	0.6169776018
3	0.5908236473
4	0.5694480257
5	0.5464970753
6	0.5256953848
7	0.5064796311
8	0.4917812314
9	0.4755461893
10	0.4633321844
11	0.4500745522
12	0.4392284451
13	0.4285103624
14	0.4204473523
15	0.4108308118
16	0.404343484
17	0.3953005516
18	0.3879612905
19	0.3814875229
20	0.3746278244
21	0.3699270596
22	0.3656309315
23	0.3596585255
24	0.3547867284
25	0.3506704857
26	0.3476616907
27	0.3437923845
28	0.3409739419
29	0.3387416843
30	0.3362607178
31	0.3335839089
32	0.3319664151
33	0.3298763828
34	0.3281664239
35	0.3253539183
36	0.3224815867
37	0.3205860357
38	0.3188541983
39	0.3160812966
40	0.3140344119
41	0.3118696453
42	0.3106748064
43	0.3091821364
44	0.3077794304
45	0.3061636201
46	0.3048888598
47	0.3039379888
48	0.3023527806
49	0.301404644
50	0.3000241188
51	0.2988848827
52	0.2971066466
53	0.2952584175
54	0.2942741922
55	0.2934387579
56	0.2923880865
57	0.291361825
58	0.2904068796
59	0.289112656
60	0.2883115158
61	0.2873466815
62	0.2862560205
63	0.2856414223
64	0.284966991
65	0.2840871296
66	0.2833543964
67	0.2823517805
68	0.2817808173
69	0.281028374
70	0.2802416427
71	0.2794551473
72	0.2787249844
73	0.2782416884
74	0.277611386
75	0.2766798275
76	0.2760135487
77	0.275238886
78	0.2746590803
79	0.2740122817
80	0.2734666645
81	0.2726583188
82	0.2720296434
83	0.2714713422
84	0.270800858
85	0.270394216
86	0.269597732
87	0.2690890275
88	0.2687641358
89	0.2683092044
90	0.2677500787
91	0.2671754337
92	0.2666136883
93	0.2661034945
94	0.2655988979
95	0.265101134
96	0.2647460376
97	0.2641470269
98	0.2637316801
99	0.2632882249
100	0.2630535112
101	0.2626346215
102	0.2620796765
103	0.2617017442
104	0.2612914745
105	0.2609178604
106	0.2602946608
107	0.2599236658
108	0.2591929169
109	0.2586755352
110	0.258099292
111	0.257562178
112	0.2570421353
